Isolate_Id,Subtype,Clade,Location,Host,Collection_Date,Host_Category
EPI_ISL_19072288,A / H1N1,unassigned,Europe / Germany,Swine,2024-03-01,Swine
EPI_ISL_19072287,A / H1N1,unassigned,Europe / Germany,Swine,2024-02-29,Swine
EPI_ISL_19172734,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-04,Human
EPI_ISL_19172725,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2024-04-21,Human
EPI_ISL_19172720,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-11-22,Human
EPI_ISL_19172716,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-01,Human
EPI_ISL_19172712,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-03,Human
EPI_ISL_19172709,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2024-04-20,Human
EPI_ISL_19172705,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-08,Human
EPI_ISL_19172671,A / H1N1,6B.1A.5a.2a.1,Europe / France / Auvergne-Rhone-Alpes,Human,2024-04-11,Human
EPI_ISL_19172670,A / H1N1,6B.1A.5a.2a.1,North America / United States / Minnesota,Human,2024-03-11,Human
EPI_ISL_19172668,A / H1N1,6B.1A.5a.2a.1,North America / United States / Minnesota,Human,2024-02-23,Human
EPI_ISL_19172666,A / H1N1,6B.1A.5a.2a.1,North America / United States / Minnesota,Human,2024-03-06,Human
EPI_ISL_19172663,A / H1N1,6B.1A.5a.2a.1,North America / United States / Minnesota,Human,2023-11-30,Human
EPI_ISL_19172660,A / H1N1,6B.1A.5a.2a.1,North America / United States / Minnesota,Human,2024-03-21,Human
EPI_ISL_19172653,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-30,Human
EPI_ISL_19172649,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-27,Human
EPI_ISL_19172646,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-28,Human
EPI_ISL_19172643,A / H1N1,6B.1A.5a.2a.1,North America / United States / Florida,Human,2024-04-03,Human
EPI_ISL_19172641,A / H1N1,6B.1A.5a.2a,North America / United States / Florida,Human,2024-04-07,Human
EPI_ISL_19172640,A / H1N1,6B.1A.5a.2a,Europe / France / Corse,Human,2024-03-26,Human
EPI_ISL_19172639,A / H1N1,6B.1A.5a.2a.1,North America / United States / Florida,Human,2024-04-17,Human
EPI_ISL_19172637,A / H1N1,6B.1A.5a.2a.1,North America / United States / Florida,Human,2024-03-31,Human
EPI_ISL_19172635,A / H1N1,6B.1A.5a.2a,North America / United States / Florida,Human,2024-04-14,Human
EPI_ISL_19172634,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-25,Human
EPI_ISL_19172633,A / H1N1,6B.1A.5a.2a.1,North America / United States / Florida,Human,2024-04-30,Human
EPI_ISL_19172632,A / H1N1,6B.1A.5a.2a,Europe / France / Bourgogne-Franche-Comte,Human,2024-03-30,Human
EPI_ISL_19172631,A / H1N1,6B.1A.5a.2a,North America / United States / Florida,Human,2024-04-20,Human
EPI_ISL_19172630,A / H1N1,6B.1A.5a.2a,Europe / France / Bourgogne-Franche-Comte,Human,2024-03-28,Human
EPI_ISL_19172629,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2024-04-15,Human
EPI_ISL_19172628,A / H1N1,6B.1A.5a.2a,Europe / France / Bourgogne-Franche-Comte,Human,2024-03-28,Human
EPI_ISL_19172627,A / H1N1,6B.1A.5a.2a,North America / United States / Colorado,Human,2023-12-19,Human
EPI_ISL_19172626,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-27,Human
EPI_ISL_19172625,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-24,Human
EPI_ISL_19172623,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-17,Human
EPI_ISL_19172620,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2024-04-16,Human
EPI_ISL_19172618,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-21,Human
EPI_ISL_19172615,A / H1N1,6B.1A.5a.2a,North America / United States / Colorado,Human,2023-12-16,Human
EPI_ISL_19172614,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-28,Human
EPI_ISL_19172613,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2023-12-20,Human
EPI_ISL_19172610,A / H1N1,6B.1A.5a.2a.1,North America / United States / Colorado,Human,2024-04-12,Human
EPI_ISL_19172608,A / H1N1,6B.1A.5a.2a,Europe / France / Auvergne-Rhone-Alpes,Human,2024-03-28,Human
EPI_ISL_19169353,A / H1N1,6B.1A.5a.2a.1,Asia / Japan,Human,2023-11-30,Human
EPI_ISL_19139424,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Province of the Western Cape,Human,2024-04-23,Human
EPI_ISL_19139422,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Province of the Western Cape,Human,2024-04-24,Human
EPI_ISL_19139420,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-22,Human
EPI_ISL_19139416,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-23,Human
EPI_ISL_19139414,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-22,Human
EPI_ISL_19139411,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-22,Human
EPI_ISL_19139409,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-22,Human
EPI_ISL_19139351,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-18,Human
EPI_ISL_19139347,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Mpumalanga,Human,2024-01-01,Human
EPI_ISL_19139346,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-15,Human
EPI_ISL_19139345,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-16,Human
EPI_ISL_19139344,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-16,Human
EPI_ISL_19139341,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Province of the Western Cape,Human,2024-04-08,Human
EPI_ISL_19139340,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Province of the Western Cape,Human,2024-04-02,Human
EPI_ISL_19139334,A / H1N1,6B.1A.5a.2a,Europe / Germany,Human,2024-01-29,Human
EPI_ISL_19139333,A / H1N1,6B.1A.5a.2a,Africa / South Africa / KwaZulu Natal,Human,2024-04-04,Human
EPI_ISL_19139332,A / H1N1,6B.1A.5a.2a,Europe / Germany,Human,2024-02-19,Human
EPI_ISL_19139329,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-04-02,Human
EPI_ISL_19139326,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Province of the Western Cape,Human,2024-03-26,Human
EPI_ISL_19139324,A / H1N1,6B.1A.5a.2a,Africa / South Africa / Gauteng,Human,2024-03-19,Human
EPI_ISL_19139323,A / H1N1,6B.1A.5a.2a.1,Africa / South Africa / Mpumalanga,Human,2024-03-14,Human
EPI_ISL_19138965,A / H1N1,6B.1A.5a.2a.1,Europe / Netherlands,Human,2024-05-02,Human
EPI_ISL_19138963,A / H1N1,6B.1A.5a.2a,Europe / Netherlands,Human,2024-04-30,Human
EPI_ISL_19138571,A / H1N1,6B.1A.5a.2a.1,North America / Canada / MB,Human,2024-04-17,Human
EPI_ISL_19138568,A / H1N1,6B.1A.5a.2a,North America / Canada / NS,Human,2024-01-24,Human
EPI_ISL_19138561,A / H1N1,6B.1A.5a.2a.1,North America / Canada / NS,Human,2024-04-07,Human
EPI_ISL_19138555,A / H1N1,6B.1A.5a.2a.1,North America / Canada / MB,Human,2024-04-15,Human
EPI_ISL_19138548,A / H1N1,6B.1A.5a.2a.1,North America / Canada / MB,Human,2024-04-14,Human
EPI_ISL_19138534,A / H1N1,6B.1A.5a.2a.1,North America / Canada / BC,Human,2024-03-31,Human
EPI_ISL_19138533,A / H1N1,6B.1A.5a.2a.1,North America / Canada / BC,Human,2024-03-26,Human
EPI_ISL_19138532,A / H1N1,6B.1A.5a.2a.1,North America / Canada / BC,Human,2024-03-26,Human
EPI_ISL_19138531,A / H1N1,6B.1A.5a.2a.1,North America / Canada / BC,Human,2024-03-26,Human
EPI_ISL_19137667,A / H1N1,6B.1A.5a.2a,Europe / Portugal,Human,2024-03-19,Human
EPI_ISL_19137666,A / H1N1,6B.1A.5a.2a,Europe / Portugal,Human,2024-02-07,Human
EPI_ISL_19137664,A / H1N1,6B.1A.5a.2a,Europe / Portugal,Human,2024-03-21,Human
EPI_ISL_19073511,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-26,Human
EPI_ISL_19073510,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-18,Human
EPI_ISL_19073509,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-27,Human
EPI_ISL_19073508,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-19,Human
EPI_ISL_19073507,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-27,Human
EPI_ISL_19073506,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-13,Human
EPI_ISL_19073505,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-14,Human
EPI_ISL_19073504,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-22,Human
EPI_ISL_19073503,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-13,Human
EPI_ISL_19073502,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-21,Human
EPI_ISL_19073501,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-23,Human
EPI_ISL_19073500,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-13,Human
EPI_ISL_19073499,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-14,Human
EPI_ISL_19073498,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-21,Human
EPI_ISL_19073497,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-21,Human
EPI_ISL_19073496,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-20,Human
EPI_ISL_19073495,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-20,Human
EPI_ISL_19073494,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-23,Human
EPI_ISL_19073493,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-21,Human
EPI_ISL_19073491,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-26,Human
EPI_ISL_19073490,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-26,Human
EPI_ISL_19073489,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-24,Human
EPI_ISL_19073488,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-24,Human
EPI_ISL_19073487,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-22,Human
EPI_ISL_19073486,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-26,Human
EPI_ISL_19073485,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-23,Human
EPI_ISL_19073484,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-23,Human
EPI_ISL_19073483,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-23,Human
EPI_ISL_19073482,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-21,Human
EPI_ISL_19073481,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-23,Human
EPI_ISL_19073480,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-22,Human
EPI_ISL_19073479,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-26,Human
EPI_ISL_19073478,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-26,Human
EPI_ISL_19073462,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-19,Human
EPI_ISL_19073454,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-26,Human
EPI_ISL_19073453,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-27,Human
EPI_ISL_19073452,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-27,Human
EPI_ISL_19073451,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-17,Human
EPI_ISL_19073450,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-18,Human
EPI_ISL_19073449,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-19,Human
EPI_ISL_19073448,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-19,Human
EPI_ISL_19073447,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-19,Human
EPI_ISL_19073446,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-19,Human
EPI_ISL_19073445,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-19,Human
EPI_ISL_19073444,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-19,Human
EPI_ISL_19073443,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-18,Human
EPI_ISL_19073442,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-16,Human
EPI_ISL_19073441,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-17,Human
EPI_ISL_19073440,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-17,Human
EPI_ISL_19073439,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-15,Human
EPI_ISL_19073438,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-18,Human
EPI_ISL_19073437,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-27,Human
EPI_ISL_19073436,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-19,Human
EPI_ISL_19073435,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-27,Human
EPI_ISL_19073434,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-27,Human
EPI_ISL_19073394,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-28,Human
EPI_ISL_19073393,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-29,Human
EPI_ISL_19073392,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2024-01-03,Human
EPI_ISL_19073391,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2024-01-03,Human
EPI_ISL_19073390,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2024-01-03,Human
EPI_ISL_19073389,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2024-01-02,Human
EPI_ISL_19073388,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2024-01-03,Human
EPI_ISL_19073386,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-31,Human
EPI_ISL_19073385,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-29,Human
EPI_ISL_19073383,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-28,Human
EPI_ISL_19073382,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-28,Human
EPI_ISL_19073381,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-28,Human
EPI_ISL_19073380,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-27,Human
EPI_ISL_19073379,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-28,Human
EPI_ISL_19073365,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-18,Human
EPI_ISL_19073363,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2024-01-05,Human
EPI_ISL_19073362,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-26,Human
EPI_ISL_19073361,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-19,Human
EPI_ISL_19073360,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-07,Human
EPI_ISL_19073359,A / H1N1,6B.1A.5a.2a.1,North America / United States / Rhode Island,Human,2023-12-02,Human
EPI_ISL_19073358,A / H1N1,6B.1A.5a.2a,North America / United States / Rhode Island,Human,2023-12-04,Human
EPI_ISL_19073214,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-27,Human
EPI_ISL_19073213,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-21,Human
EPI_ISL_19073211,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-20,Human
EPI_ISL_19073210,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-20,Human
EPI_ISL_19073208,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-24,Human
EPI_ISL_19073207,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-21,Human
EPI_ISL_19073205,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-30,Human
EPI_ISL_19073204,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-30,Human
EPI_ISL_19073203,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-30,Human
EPI_ISL_19073201,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-30,Human
EPI_ISL_19073198,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-29,Human
EPI_ISL_19073197,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-29,Human
EPI_ISL_19073195,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-29,Human
EPI_ISL_19073193,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-27,Human
EPI_ISL_19073192,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-27,Human
EPI_ISL_19073191,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-27,Human
EPI_ISL_19073189,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-26,Human
EPI_ISL_19073188,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-26,Human
EPI_ISL_19073186,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-18,Human
EPI_ISL_19073183,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-24,Human
EPI_ISL_19073181,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-23,Human
EPI_ISL_19073178,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-22,Human
EPI_ISL_19073173,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-22,Human
EPI_ISL_19073171,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-21,Human
EPI_ISL_19073129,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-20,Human
EPI_ISL_19073124,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-18,Human
EPI_ISL_19073121,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-26,Human
EPI_ISL_19073119,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-13,Human
EPI_ISL_19073118,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-13,Human
EPI_ISL_19073116,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-13,Human
EPI_ISL_19073115,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-13,Human
EPI_ISL_19073111,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-12,Human
EPI_ISL_19073110,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-12,Human
EPI_ISL_19073106,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-14,Human
EPI_ISL_19073104,A / H1N1,6B.1A.5a.2a.1,North America / United States / Connecticut,Human,2024-03-07,Human
EPI_ISL_19073102,A / H1N1,6B.1A.5a.2a.1,North America / United States / Connecticut,Human,2024-03-05,Human
EPI_ISL_19073098,A / H1N1,6B.1A.5a.2a,North America / United States / Connecticut,Human,2024-03-02,Human
EPI_ISL_19073097,A / H1N1,6B.1A.5a.2a.1,North America / United States / Connecticut,Human,2024-03-02,Human
EPI_ISL_19073095,A / H1N1,6B.1A.5a.2a.1,North America / United States / Connecticut,Human,2024-02-28,Human
EPI_ISL_19073094,A / H1N1,6B.1A.5a.2a.1,North America / United States / Connecticut,Human,2024-02-25,Human
EPI_ISL_19073093,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-13,Human
EPI_ISL_19073092,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-15,Human
EPI_ISL_19073090,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-21,Human
EPI_ISL_19073074,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-24,Human
EPI_ISL_19073045,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-22,Human
EPI_ISL_19073014,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-22,Human
EPI_ISL_19072994,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-21,Human
EPI_ISL_19072987,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-21,Human
EPI_ISL_19072981,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-20,Human
EPI_ISL_19072980,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-20,Human
EPI_ISL_19072977,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-16,Human
EPI_ISL_19072976,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-16,Human
EPI_ISL_19072948,A / H1N1,6B.1A.5a.2a.1,North America / United States / Texas,Human,2024-03-06,Human
EPI_ISL_19072947,A / H1N1,6B.1A.5a.2a.1,North America / United States / Texas,Human,2024-03-01,Human
EPI_ISL_19072945,A / H1N1,6B.1A.5a.2a.1,North America / United States / Ohio,Human,2024-02-22,Human
EPI_ISL_19072942,A / H1N1,6B.1A.5a.2a.1,North America / United States / New York,Human,2024-02-26,Human
EPI_ISL_19072925,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-02-19,Human
EPI_ISL_19072922,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-01-02,Human
EPI_ISL_19072921,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-02-07,Human
EPI_ISL_19072918,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-02-04,Human
EPI_ISL_19072917,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-02-02,Human
EPI_ISL_19072914,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-02-11,Human
EPI_ISL_19072908,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-02-10,Human
EPI_ISL_19072907,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2023-12-17,Human
EPI_ISL_19072902,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-25,Human
EPI_ISL_19072900,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-25,Human
EPI_ISL_19072899,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-25,Human
EPI_ISL_19072896,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-24,Human
EPI_ISL_19072894,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-02-10,Human
EPI_ISL_19072892,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-05,Human
EPI_ISL_19072891,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-09,Human
EPI_ISL_19072890,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-09,Human
EPI_ISL_19072889,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-14,Human
EPI_ISL_19072886,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-08,Human
EPI_ISL_19072884,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-11,Human
EPI_ISL_19072883,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-07,Human
EPI_ISL_19072882,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-07,Human
EPI_ISL_19072881,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-02,Human
EPI_ISL_19072880,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-03-05,Human
EPI_ISL_19072878,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-02-12,Human
EPI_ISL_19072877,A / H1N1,6B.1A.5a.2a,North America / United States / Michigan,Human,2024-03-05,Human
EPI_ISL_19072875,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-02-21,Human
EPI_ISL_19072873,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-02-26,Human
EPI_ISL_19072866,A / H1N1,6B.1A.5a.2a.1,North America / United States / Michigan,Human,2024-01-28,Human
EPI_ISL_19072865,A / H1N1,6B.1A.5a.2a.1,North America / United States / Connecticut,Human,2024-02-24,Human
EPI_ISL_19041096,A / H1N1,6B.1A.5a.2a,Europe / Slovakia / Banskobystricky kraj,Human,2024-02-14,Human
EPI_ISL_19041094,A / H1N1,6B.1A.5a.2a,Europe / Slovakia / Banskobystricky kraj,Human,2024-02-20,Human
